number,start_seconds,end_seconds,duration_seconds,title,filename
1,0.000,7.000,7.000,Darude - Moments CSGO,001_00-00_Darude - Moments CSGO.mp3
2,7.000,16.000,9.000,Twin Atlantic - GLA,002_00-07_Twin Atlantic - GLA.mp3
3,16.000,24.000,8.000,Roam - Backbone,003_00-16_Roam - Backbone.mp3
4,24.000,33.000,9.000,Beartooth - Disgusting,004_00-24_Beartooth - Disgusting.mp3
5,33.000,47.000,14.000,New Beat Fund - Sponge Fingerz,005_00-33_New Beat Fund - Sponge Fingerz.mp3
6,47.000,56.000,9.000,Michael Bross - Invasion!,006_00-47_Michael Bross - Invasion!.mp3
7,56.000,67.000,11.000,Mord Fustang - Diamonds,007_00-56_Mord Fustang - Diamonds.mp3
8,67.000,74.000,7.000,Daniel Sadowski - The 8-Bit Kit,008_01-07_Daniel Sadowski - The 8-Bit Kit.mp3
9,74.000,80.000,6.000,Skog - II-Headshot,009_01-14_Skog - II-Headshot.mp3
10,80.000,89.000,9.000,Troels Folmann - Uber Blasto Phone,010_01-20_Troels Folmann - Uber Blasto Phone.mp3
11,89.000,96.000,7.000,KiTheory - MOLOTOV,011_01-29_KiTheory - MOLOTOV.mp3
12,96.000,105.000,9.000,Damjan Mravunac - The Talos Principle,012_01-36_Damjan Mravunac - The Talos Principle.mp3
13,105.000,112.000,7.000,Daniel Sadowski - Total Domination,013_01-45_Daniel Sadowski - Total Domination.mp3
14,112.000,118.312,6.312,Mateo Messina - For No Mankind,014_01-52_Mateo Messina - For No Mankind.mp3
15,118.312,126.590,8.278,Chapter 015,015_01-58_Chapter 015.mp3
16,126.590,134.436,7.846,Chapter 016,016_02-07_Chapter 016.mp3
17,134.436,140.375,5.939,Chapter 017,017_02-14_Chapter 017.mp3
18,140.375,148.360,7.985,Chapter 018,018_02-20_Chapter 018.mp3
19,148.360,155.498,7.138,Chapter 019,019_02-28_Chapter 019.mp3
20,155.498,166.056,10.558,Chapter 020,020_02-35_Chapter 020.mp3
21,166.056,173.513,7.457,Chapter 021,021_02-46_Chapter 021.mp3
22,173.513,201.543,28.030,Chapter 022,022_02-54_Chapter 022.mp3
23,201.543,210.758,9.215,Chapter 023,023_03-22_Chapter 023.mp3
24,210.758,218.735,7.977,Chapter 024,024_03-31_Chapter 024.mp3
25,218.735,227.587,8.852,Chapter 025,025_03-39_Chapter 025.mp3
26,227.587,235.763,8.176,Chapter 026,026_03-48_Chapter 026.mp3
27,235.763,245.514,9.751,Chapter 027,027_03-56_Chapter 027.mp3
28,245.514,255.019,9.505,Chapter 028,028_04-06_Chapter 028.mp3
29,255.019,276.224,21.205,Chapter 029,029_04-15_Chapter 029.mp3
30,276.224,286.892,10.668,Chapter 030,030_04-36_Chapter 030.mp3
31,286.892,298.082,11.190,Chapter 031,031_04-47_Chapter 031.mp3
32,298.082,307.108,9.026,Chapter 032,032_04-58_Chapter 032.mp3
33,307.108,320.314,13.206,Chapter 033,033_05-07_Chapter 033.mp3
34,320.314,332.620,12.306,Chapter 034,034_05-20_Chapter 034.mp3
35,332.620,343.323,10.703,Chapter 035,035_05-33_Chapter 035.mp3
36,343.323,352.932,9.609,Chapter 036,036_05-43_Chapter 036.mp3
37,352.932,363.196,10.264,Chapter 037,037_05-53_Chapter 037.mp3
38,363.196,372.429,9.233,Chapter 038,038_06-03_Chapter 038.mp3
39,372.429,380.362,7.933,Chapter 039,039_06-12_Chapter 039.mp3
40,380.362,398.777,18.415,Chapter 040,040_06-20_Chapter 040.mp3
41,398.777,407.182,8.405,Chapter 041,041_06-39_Chapter 041.mp3
42,407.182,415.582,8.400,Chapter 042,042_06-47_Chapter 042.mp3
43,415.582,424.209,8.627,Chapter 043,043_06-56_Chapter 043.mp3
44,424.209,436.507,12.298,Chapter 044,044_07-04_Chapter 044.mp3
45,436.507,460.315,23.808,Chapter 045,045_07-17_Chapter 045.mp3
